Name,Job,Status
Forest Stroman,Cashier - (Full-Time) - Store 18,Applicant Pool
Ms. Darrin Rath,Sales Associate - (Full-Time) - Store 13,Background Initiated
Nicolas Witting,FT Cashier - Store 13,Hired
Wilfredo Torphy,Store Manager - Store 3,Applicant Pool
Jannie Kuhlman,Sales Associate - (Part-Time) - Store 4,Submitted
Dr. Hilton Cartwright,FT Cashier - Store 7,Submitted
Freeda Torphy II,Part-Time Sales Associate - Store 20,Submitted
Scarlett Krajcik,Part-Time Sales Associate - Store 2,Approved
Celia Fadel,FT Cashier - Store 14,Approved
Jaron Brekke,Part-Time Cashier - Store 5,Applicant Pool
Yesenia Tremblay,Part-Time Cashier - Store 15,Submitted
Gene Erdman,FT Sales Associate - Store 15,Background Pending
Liza Waters,Cashier - (Part-Time) - Store 8,Applicant Pool
Keagan Halvorson,Cashier - (Part-Time) - Store 1,Submitted
Monique Gleason,FT Sales Associate - Store 19,Approved
Yasmeen Hoeger,Full-Time Sales Associate - Store 5,Closed
Ardella Rogahn IV,FT Cashier - Store 2,Hired
Marlen Hayes II,Part-Time Sales Associate - Store 10,Hired
Guadalupe Cruickshank,Sales Associate - (Full-Time) - Store 20,Hired
Elyssa Beahan,Cashier - (Part-Time) - Store 1,Background Initiated
Freddie Smitham,Cashier - (Full-Time) - Store 9,Hired
Kyle Mante,Cashier - (Part-Time) - Store 12,Hired
Lacey Runte,Full-Time Sales Associate - Store 9,Hired
Shea Gaylord,FT Cashier - Store 2,Background Pending
Dr. Breanna Torp,Sales Associate - (Full-Time) - Store 11,Background Initiated
Clementina Heller,FT Cashier - Store 10,Background Initiated
Stefanie Gottlieb,Cashier - (Part-Time) - Store 19,Background Pending
Sanford Hodkiewicz,FT Cashier - Store 9,Applied
Makayla Emmerich III,Sales Associate - (Full-Time) - Store 11,Applicant Pool
Tristian Wintheiser,Part-Time Cashier - Store 18,Approved
Angela Stroman,Sales Associate - (Full-Time) - Store 9,Approved
Mrs. Talia Stiedemann,Sales Associate - (Full-Time) - Store 15,Background Initiated
Dr. Jaleel Sauer,FT Cashier - Store 3,Closed
Miss Sydney Wintheiser,FT Sales Associate - Store 15,Hired
Talon Turner,FT Cashier - Store 8,Hired
Troy Kuhlman,FT Cashier - Store 15,Applied
Donnell Rau DDS,Assistant Store Manager - Store 20,Applied
Giovani Block,FT Sales Associate - Store 5,Applied
Leopoldo Willms MD,Part-Time Cashier - Store 6,Background Initiated
Adelia Kshlerin,Cashier - (Part-Time) - Store 16,Applicant Pool
Guiseppe Toy Jr.,Cashier - (Part-Time) - Store 12,Hired
Burley Kiehn,FT Cashier - Store 16,Submitted
Mr. Carolanne Boehm,Part-Time Sales Associate - Store 17,Applied
Bert Stamm MD,Sales Associate - (Part-Time) - Store 9,Applicant Pool
Vinnie Kovacek,Part-Time Cashier - Store 15,Background Initiated
Davin Deckow,Part-Time Cashier - Store 6,Background Pending
Trisha Cronin Sr.,Sales Associate - (Full-Time) - Store 15,Approved
Briana Koepp,FT Sales Associate - Store 18,Closed
Garrett Green V,Sales Associate - (Part-Time) - Store 16,Background Pending
Ryann Conn,Sales Associate - (Part-Time) - Store 11,Background Pending
Bart Grady PhD,FT Sales Associate - Store 20,Submitted
Jaunita Batz,FT Cashier - Store 6,Hired
Edison Wuckert,Part-Time Cashier - Store 18,Background Pending
